net-name	net-id	site-name	site-id	pi	one-clicks	uc	qc
Meteo France Regie	1385005799	meteofrance.com	68914490	6543053	3401603	4384933	1968964
OMS	1615459509	op-online.de	87675176	231059	33304	58217	15203
glammedia	235681100	gaestebuch-hochzeit.de	96177919	1015	340	509	272
ENED_24Media_mobile	659279516	oneman.gr/ENED	126274063	87347	23068	35863	21809
HTTPool_SR	974965399	kosarka.rs	144511466	2375	1355	1686	803
LPM_FranceTV	1003426551	LPM_FranceTV_monludo	149893962	219403	17439	19724	1261
Clipkit	1934213317	browsergames.de/clipkit	167292632	114311	49421	72096	33848
Goldbach Audience	2137767787	moneyhouse.ch/de	246909374	2694614	324111	599092	207350
OMS	1615459509	rockantenne.de	287578824	157440	28926	57152	22676
Smartclip	35854137	IM_frauen	294810252	24433	6778	12407	7232
Goldbach Audience	2137767787	foodnews.ch	299737950	14804	5688	7261	2942
glammedia	235681100	planet3dnow.de	319330271	28924	7292	10964	3927
ENED_Capital	2008089533	forex.capital.gr	330135984	21033	2708	4701	3032
freeXmedia	1516487384	runnersworld.de	384569451	572848	179224	236894	76506
glammedia	235681100	glam.de	409234815	9178	3282	4318	1674
N24.se	1403231093	tyda.se	411846504	1383406	408347	507924	64519
SevenOne Media	1272195681	promipool.de	478457620	184624	29177	44943	23342
DK-BEI_CONTAINER	896712678	BEI-TGMotgomery.no	500564249	21	6	11	1
Goldbach Audience	2137767787	viamichelin.ch/de	508145214	148470	20165	44118	17316
ARBOmedia_PL	651342010	udanastudniowka.pl	529118381	4234	904	1407	682
glammedia	235681100	kalinkakalinka.de	541914015	5327	3029	3542	1179
glammedia	235681100	pc-luchs.de	559013887	132	78	93	43
OMS	1615459509	merkur-online.de	564025416	1404911	222061	341728	74026
Goldbach Media	177654511	autoo.ch	605215170	354	25	167	1
Goldbach Audience	2137767787	swissmilk.ch/fr	617860094	47646	20197	24842	7289
Clipkit	1934213317	sat1spiele.de/clipkit	658706200	241600	22729	42927	16318
RMSI	498868272	hit104.de	707109603	2044	655	902	120
freeXmedia	1516487384	elektrobike-online.com	721845163	123179	31000	42212	10203
OMS mobile	2119689184	rga-online.de	745656211	1410	347	467	261
glammedia	235681100	journelles.de	787032639	114344	55016	62752	7608
OMS	1615459509	ksta.de	838209832	2607475	621030	843959	219205
medienhaus.com	435938190	noen.at	885663745	359714	44049	74714	29119
webads.it	1609693476	milanodabere.it	960341431	171350	63459	81806	25259
smartclip_italy	1471916694	gossip.it	1059515049	57980	44330	48907	11364
ARBOmedia_PL	651342010	dominnowacji.pl	1156726093	670	310	429	232
stroeer orangedirect	834970848	orangedirectglobal	1160965875	447218	127011	175662	6190
24media	832047503	deltiokairou.gr	1183419330	285947	38334	84470	50398
Hi-Media	2000907398	kleiderkreisel.de/hi-media	1188806105	8	8	8	5
LPM_TF1	731239640	LPM_TF1_eurosport	1201736907	27282667	4157355	5549566	1102938
glammedia	235681100	kreatives-wohnforum.de	1230108031	2506	1554	1824	1006
stroeer_digital_media	571289945	babynet.de	1238458604	9893	5734	6741	3312
OMS	1615459509	die-wochenblaetter.de	1247217672	19260	4380	6115	2232
Clipkit	1934213317	jam.fm/clipkit	1261527352	20917	5031	9067	4424
glammedia	235681100	kleiderkreisel.de	1300014751	13473726	2588120	2897679	318572
HTTPool_BG	1782510139	dieti.info	1348018446	15844	3431	5699	3623
RMSI	498868272	deltaradio.de	1351954019	5919	2419	3369	1684
glammedia	235681100	cs-intern.com	1356283295	72108	1553	3297	487
glammedia	235681100	paradisi.de	1360723327	1240713	574267	740021	339765
OMS	1615459509	stimberg-zeitung.de	1361870920	960	404	541	136
OMS mobile	2119689184	express.de	1375267731	4187062	209342	402346	235565
SevenOne Media mobile	126188777	pro7.de	1436289020	2012488	297222	611563	325793
Clipkit	1934213317	spielaffe.de/clipkit	1469077560	13	7	9	5
beead	104260390	modele-lettre-type	1500076761	208368	59018	93738	45382
Hi-Media	2000907398	knuddels.de	1507638553	10	6	7	4
LPM_GMC	1997387604	LPM_GMC_penelope	1515745639	67757	29254	33776	9143
ASMI	1569905102	Hamburger_Abendblatt_MOBIL	1579622689	1126008	134523	207085	126026
Goldbach Audience	2137767787	netlog.com/fr	1585394590	76249	3836	5509	1228
SevenOne Media MAGIC (3rd party Video)	842055044	lifestyle-videovalis.tv	1591787191	1277947	306715	464793	297294
HTTPool_SR	974965399	poslovi.infostud.com	1594875242	893934	48807	146967	77300
stroeer_digital_media	571289945	stromvergleich.de	1600884588	39321	9432	15838	6236
glammedia	235681100	familienplauderei.de	1636348287	11	11	11	8
MSN	2072193066	auto.de.msn.com	1639279741	3831842	257218	380110	111878
HTTPool_BG	1782510139	rozali.com	1648421486	1992835	145607	263292	155532
beead	104260390	beead_adimps	1660277017	23626402	9925816	12560482	5036340
smartclip_italy	1471916694	mindjolt.it	1669687017	91302	7122	18998	11880
stroeer_digital_media	571289945	geliebte-katze.de	1713087500	14	3	5	2
beead	104260390	sports-live	1728574137	196	112	142	70
BEI_container_CEE	53552772	BEI_wienerberger.bg	1731610455	42541	6896	12431	7571
ARBOmedia_RO	940807539	vreaucredit.ro	1736775750	21577	3940	7911	4316
Clipkit	1934213317	wer-weiss-was.de/clipkit	1751364792	6062	3631	4455	2378
Smartclip	35854137	aolron/smartclip	1767601004	113027	43894	58071	27875
freeXmedia	1516487384	aero.de	1786327947	234368	64321	85809	15429
freeXmedia	1516487384	weltfussball.de	1790323659	1300300	230958	297007	80215
glammedia	235681100	myshoppingbag.de	1809884351	823	466	556	220
OMS	1615459509	mz-web.de	1820525000	1133631	223347	324251	106857
ARBOmedia_PL	651342010	przepisnabiznes.pl	1854056205	6281	2105	3033	1873
Smartclip	35854137	DE_UFA_Handballbundesliga	1855674444	5370	696	1754	894
Hi-Media	2000907398	metal.de	1860371417	63866	17721	24231	8634
Smartclip	35854137	DE_App_CPMStar.com/smartclip	1966437836	104831	46330	63158	36762
TripleDoubleU	1704466471	virtualnights.com	1970737402	2085553	863327	1010722	386843
beead	104260390	space-blogs	1976389849	18304	7797	10134	3993
HTTPool_SR	974965399	kursna-lista.com	1980563114	10	5	7	2
